User Name,Software
User,"""7-Zip 22.01 (x64)""
""Mesh Agent""
""Mozilla Thunderbird (x64 en-US)""
""Mozilla Maintenance Service""
""Sublime Text 2.0.2""
""Vim 9.0 (x64)""
""Microsoft Visual C++ 2022 X64 Additional Runtime - 14.36.32532""
""Python 3.11.4 Development Libraries (64-bit)""
""Strawberry Perl (64-bit)""
""The Bat! v10.3.3.3 (64-bit)""
""Zoom(64bit)""
""Python 3.11.4 Test Suite (64-bit)""
""Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729""
""Python 3.11.4 Add to Path (64-bit)""
""Python 3.11.4 Standard Library (64-bit)""
""Python 3.11.4 Utility Scripts (64-bit)""
""Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005""
""Python 3.11.4 Tcl/Tk Support (64-bit)""
""Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005""
""Microsoft Update Health Tools""
""Google Chrome""
""Node.js""
""Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.36.32532""
""Python 3.11.4 pip Bootstrap (64-bit)""
""Python 3.11.4 Executables (64-bit)""
""Python 3.11.4 Documentation (64-bit)""
""Python 3.11.4 Core Interpreter (64-bit)""
""hMailServer 5.6.8-B2574""
""Microsoft Edge""
""Microsoft Edge Update""
""Microsoft Edge WebView2 Runtime""
""Skype version 8.98""
""Tactical RMM Agent""
""Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005""
""Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319""
""Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501""
""Python Launcher""
""Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.36.32532""
""HiLookVision""
""Skype 8.98""
""Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.36.32532""
""Jabra Direct""
""Jabra Direct""
""Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.36.32532""
""Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161""
""Microsoft SQL Server Compact 3.5 ENU""
""Microsoft Visual C++ 2022 X86 Additional Runtime - 14.36.32532""
""iVMS-4200""
""DFUDriverSetupX64Setup""
""Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501""
""Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005"""
Galya,"""7-Zip 19.00 (x64)""
""CPUID CPU-Z 1.92""
""Git version 2.28.0""
""Пакет обновления 1 для SQL Server 2012 (KB2674319) (64-bit)""
""GDR 3128 для SQL Server 2012 (KB2793634) (64-bit)""
""me.fo""
""Mesh Agent""
""Microsoft Help Viewer 1.1""
""Microsoft Help Viewer 1.1 Language Pack - RUS""
""Microsoft SQL Server 2012 (64-разрядная версия)""
""Microsoft SQL Server 2012 (64-разрядная версия)""
""Microsoft Office профессиональный плюс 2019 - ru-ru""
""Recuva 1.53.1087 RePack""
""Software Informer 1.5.1346.0""
""VLC media player""
""WinRAR 5.90 (64-разрядная)""
""Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664""
""Python 3.10.1 Test Suite (64-bit)""
""SQL Server Management Studio""
""SQL Server 2012 Management Studio""
""MySQL Connector C++ 8.0""
""Free Download Manager""
""Microsoft SQL Server 2012 Transact-SQL ScriptDom ""
""Python 3.10.1 pip Bootstrap (64-bit)""
""SQL Server 2012 Database Engine Services""
""Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219""
""SQL Server 2012 Common Files""
""SSMS Post Install Tasks""
""SQL Server 2012 Database Engine Services""
""Microsoft Help Viewer 1.1 Language Pack - RUS""
""SQL Server 2012 Database Engine Services""
""Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61135""
""MySQL Server 8.0""
""SQL Server 2012 Database Engine Shared""
""Microsoft Visual Studio 2010 Tools for Office Runtime (x64)""
""Python 3.10.1 Executables (64-bit)""
""Tailscale""
""SQL Server Management Studio""
""Python 3.10.1 Add to Path (64-bit)""
""Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664""
""SQL Server 2012 Database Engine Shared""
""Python 3.10.1 Tcl/Tk Support (64-bit)""
""Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.7523""
""Microsoft Visual C++ 2019 X64 Additional Runtime - 14.28.29913""
""Azure Data Studio""
""SQL Server 2012 Client Tools""
""Backup and Sync from Google""
""Microsoft System CLR Types для SQL Server 2012 (x64)""
""Visual Studio 2010 Prerequisites - English""
""Google Drive""
""MySQL Shell 8.0.23""
""MySQL Router 8.0""
""Microsoft OLE DB Driver for SQL Server""
""SQL Server 2012 Client Tools""
""Python 3.10.1 Core Interpreter (64-bit)""
""Microsoft SQL Server 2012 Transact-SQL Compiler Service ""
""Office 16 Click-to-Run Licensing Component""
""Office 16 Click-to-Run Extensibility Component""
""Office 16 Click-to-Run Localization Component""
""Microsoft SQL Server 2012 RsFx Driver""
""Microsoft Analysis Services OLE DB Provider""
""Python 3.10.1 Standard Library (64-bit)""
""SQL Server Management Studio for Analysis Services""
""Файлы поддержки программы установки Microsoft SQL Server 2008 ""
""SQL Server 2012 Database Engine Services""
""Microsoft SQL Server 2012 Native Client ""
""Python 3.10.1 Development Libraries (64-bit)""
""SQL Server 2012 Common Files""
""SQL Server 2012 Management Studio""
""Microsoft Visual C++ 2005 Redistributable (x64)""
""Microsoft Visual Studio Tools for Applications 2017 x64 Hosting Support""
""Службы синхронизации контроля версий для SQL Server 2012""
""Sql Server Customer Experience Improvement Program""
""MySQL Connector/ODBC 8.0""
""SQL Server Management Studio for Reporting Services""
""Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61135""
""Python 3.10.1 Documentation (64-bit)""
""Microsoft ODBC Driver 17 for SQL Server""
""Microsoft Help Viewer 1.1""
""Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.28.29913""
""Установка Microsoft SQL Server 2012 (на русском языке)""
""LibreOffice 6.4.5.2""
""MySQL Workbench 8.0 CE""
""Python 3.10.1 Utility Scripts (64-bit)""
""1C Предприятие 7.7""
""AIDA64 Extreme v6.32""
""Google Chrome""
""HASP License Manager""
""SAMSUNG PC Share Manager""
""Microsoft Help Viewer 2.3""
""No-IP DUC""
""Notepad++ (32-bit x86)""
""Npcap""
""SpeedFan (remove only)""
""TeamViewer""
""Wireshark 3.4.0 64-bit""
""MySQL Documents 8.0""
""Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.28.29913""
""Tailscale""
""ASUS Wireless Router Device Discovery Utility""
""Microsoft Report Viewer 2012 Runtime""
""Tactical RMM Agent""
""Stopping Plex""
""Microsoft SQL Server Management Studio - 18.8""
""SAMSUNG PC Share Manager""
""Integration Services""
""Microsoft Visual FoxPro OLE DB Provider""
""MySQL Connector J""
""Microsoft Analysis Services OLE DB Provider""
""Plex Media Server""
""Microsoft Visual C++ 2019 X86 Additional Runtime - 14.28.29913""
""Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219""
""Соната 0.27.23.0""
""Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.28.29913""
""M.E.Doc (C:\Medoc\Medoc)""
""Microsoft Visual C++ 2005 Redistributable""
""MSXML 4.0 SP2 Parser and SDK""
""MySQL Connector Net 8.0.23""
""SADPTool""
""Python Launcher""
""Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664""
""Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.28.29913""
""Политики Microsoft SQL Server 2012 ""
""Объекты управления Microsoft SQL Server 2008 R2""
""Microsoft Application Error Reporting""
""Microsoft Visual Studio Tools for Applications 2017 x86 Hosting Support""
""Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.7523""
""Microsoft Visual Studio 2010 Shell (Isolated) - RUS""
""Radmin Viewer 3.5.2""
""Plex Media Server""
""MySQL Examples and Samples 8.0""
""Visual Studio 2017 Isolated Shell for SSMS""
""Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61135""
""Synology Active Backup for Business Agent""
""Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61135""
""Microsoft Help Viewer 2.3""
""Microsoft Visual Basic/C++ Runtime (x86)""
""Microsoft .NET Framework 4 Multi-Targeting Pack""
""Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664""
""MySQL Installer - Community""
""Advanced IP Scanner 2.5""
""Обозреватель SQL Server для SQL Server 2012""
""Системные типы Microsoft SQL Server System CLR Types""
""Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219""
""Microsoft Visual Studio Tools for Applications 2017"""
